Reference Number,Watch URL,type,brand,year_introduced,Parent_Model,Specific_Model,nickname,Marketing Names,style,Currency,Price,Image URL,made_in,case_shape,case_material,case_finish,Caseback,diameter,between_lugs,Lug-to-Lug ,Case Thickness,bezel_material,bezel_color,crystal,Water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,Description,short_description
ST23-TRI.11.CS.M.35.FC,https://arminstrom.com/en/?page_id=11207,,Armin Strom,,System 78,Tribute 1 Fumé Sky,Tribute 1 Fumé Sky,"Limited Edition
10 pieces",,CHF,19900,https://arminstrom.com/wp-content/uploads/2023/10/1200px_Tribute1_Fume_sky_soldats_recto.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,"Offset, fumé: Sky","Offset, fumé: Sky",Delivered with a grey Alcantara calf leather strap,Delivered with a grey Alcantara calf leather strap,Folding clasp in stainless steel,,,,,,,"Dramatic, intense and reflecting a multitude of tones, the fumé dial gives a new depth to the already three-dimensional Tribute 1. Armin Strom’s unique take on the most fundamental of timekeepers, the Tribute 1 features an offset dial and a bridge holding the innovative “motor barrel”, which offers 100 hours of power reserve. The guilloché engraved dial plate is handcrafted by celebrated independent watchmaker Kari Voutilainen’s dial atelier. The Tribute 1 Fumé is limited to 10 pieces each in Ocean, Slate, Sky and Burgundy fumé dial colours.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST23-TRI.75.CS.M.35.FC,https://arminstrom.com/en/?page_id=11196,,Armin Strom,,System 78,Tribute 1 Fumé Ocean,Tribute 1 Fumé Ocean,"Limited Edition
10 pieces",,CHF,19900,https://arminstrom.com/wp-content/uploads/2023/10/1200px_Tribute1_Fume_ocean_soldats_recto.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,"Offset, fumé: Ocean","Offset, fumé: Ocean",Delivered with a grey Alcantara calf leather strap,Delivered with a grey Alcantara calf leather strap,Folding clasp in stainless steel 18K 5N rose gold coated,,,,,,,"Dramatic, intense and reflecting a multitude of tones, the fumé dial gives a new depth to the already three-dimensional Tribute 1. Armin Strom’s unique take on the most fundamental of timekeepers, the Tribute 1 features an offset dial and a bridge holding the innovative “motor barrel”, which offers 100 hours of power reserve. The guilloché engraved dial plate is handcrafted by celebrated independent watchmaker Kari Voutilainen’s dial atelier. The Tribute 1 Fumé is limited to 10 pieces each in Ocean, Slate, Sky and Burgundy fumé dial colours.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST23-TRI.10.CS.M.35.FC,https://arminstrom.com/en/?page_id=11184,,Armin Strom,,System 78,Tribute 1 Fumé Burgundy,Tribute 1 Fumé Burgundy,"Limited Edition
10 pieces",,CHF,19900,https://arminstrom.com/wp-content/uploads/2023/10/1200px_Tribute1_Fume_burgundy_soldats_recto.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,"Offset, fumé: Burgundy","Offset, fumé: Burgundy",Delivered with a grey Alcantara calf leather strap,Delivered with a grey Alcantara calf leather strap,Folding clasp in stainless steel,,,,,,,"Dramatic, intense and reflecting a multitude of tones, the fumé dial gives a new depth to the already three-dimensional Tribute 1. Armin Strom’s unique take on the most fundamental of timekeepers, the Tribute 1 features an offset dial and a bridge holding the innovative “motor barrel”, which offers 100 hours of power reserve. The guilloché engraved dial plate is handcrafted by celebrated independent watchmaker Kari Voutilainen’s dial atelier. The Tribute 1 Fumé is limited to 10 pieces each in Ocean, Slate, Sky and Burgundy fumé dial colours.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST23-TRI.05.CS.M.35.FC,https://arminstrom.com/en/?page_id=11102,,Armin Strom,,System 78,Tribute 1 Fumé Slate,Tribute 1 Fumé Slate,"Limited Edition
10 pieces",,CHF,19900,https://arminstrom.com/wp-content/uploads/2023/10/1200px_Tribute1_Fume_slate_soldats_recto.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,"Offset, fumé: Slate","Offset, fumé: Slate",Delivered with a grey Alcantara calf leather strap,Delivered with a grey Alcantara calf leather strap,Folding clasp in stainless steel,,,,,,,"Dramatic, intense and reflecting a multitude of tones, the fumé dial gives a new depth to the already three-dimensional Tribute 1. Armin Strom’s unique take on the most fundamental of timekeepers, the Tribute 1 features an offset dial and a bridge holding the innovative “motor barrel”, which offers 100 hours of power reserve. The guilloché engraved dial plate is handcrafted by celebrated independent watchmaker Kari Voutilainen’s dial atelier. The Tribute 1 Fumé is limited to 10 pieces each in Ocean, Slate, Sky and Burgundy fumé dial colours.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
RG21-TRI.70,https://arminstrom.com//en/collection/system-78/tribute-1-rose-gold/,,Armin Strom,,System 78,Tribute 1 Rose Gold,Tribute 1 Rose Gold,"Limited Edition
100 pieces",,CHF,26000,https://arminstrom.com/wp-content/uploads/2022/09/1200px_Tribute1_Rose_Gold_soldat_v01.jpg,Switzerland,,18-carat rose gold,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,Offset black gold with even hour markers 18K 5N rose gold coated,Offset black gold with even hour markers 18K 5N rose gold coated,Delivered with a black alligator leather strap with black stitching,Delivered with a black alligator leather strap with black stitching,Folding clasp in stainless steel,,,,,,,"The Tribute 1 is a modern reinterpretation of the haute horology dress watch that is technically-innovative and beautifully hand-finished. With its offset grey dial featuring uniquely designed rose gold coated steel hands and an ingeniously efficient 100-hour mainspring barrel on the dial plate, the Tribute 1 brings technical prowess and highest standards of hand-finishing in the Manufacture’s most minimalist creation to date. Limited to 100 pieces, the Rose Gold Edition features a grey grenage textured dial plate.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST21-TRI.05,https://arminstrom.com//en/collection/system-78/tribute-1-blue-edition/,,Armin Strom,,System 78,Tribute 1 Blue Edition,Tribute 1 Blue Edition,"Limited edition
100 pieces",,CHF,16900,https://arminstrom.com/wp-content/uploads/2021/08/tribute-1-blue-edition-image-01.jpg,Switzerland,,Stainless steel,,"Sapphire crystal and case back with anti-reflective treatment, Armin Strom delivers two new references – one with a black dial and one with a blue dial – of a watch that has already made aficionados giddy with excitement. The operational word here is “hand”. These hand-wound watches feature extensive hand finishing, hand craftsmanship and hand decoration at an impressive price point of CHF 13,900. The legend “1 of 100” engraved on the caseback is a confirmation of the edition size.",38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,Offset blue,Offset blue,Delivered with a black alligator leather strap,Delivered with a black alligator leather strap,Folding clasp in stainless steel,,,,,,,"Armin Strom introduces the “Tribute 1” in Blue. Look closely: we’ve redefined the classic dress watch.



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST21-TRI.90,https://arminstrom.com//en/collection/system-78/tribute-1-black-edition/,,Armin Strom,,System 78,Tribute 1 Black Edition,Tribute 1 Black Edition,"Limited edition
100 pieces",,CHF,16900,https://arminstrom.com/wp-content/uploads/2021/08/tribute-1-black-edition-image-01.jpg,Switzerland,,Stainless steel,,"Sapphire crystal and case back with anti-reflective treatment, Armin Strom delivers two new references – one with a black dial and one with a blue dial – of a watch that has already made aficionados giddy with excitement. The operational word here is “hand”. These hand-wound watches feature extensive hand finishing, hand craftsmanship and hand decoration at an impressive price point of CHF 13,900. The legend “1 of 100” engraved on the caseback is a confirmation of the edition size.",38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,Offset black,Offset black,Delivered with a black alligator leather strap,Delivered with a black alligator leather strap,Folding clasp in stainless steel,,,,,,,"Armin Strom introduces the “Tribute 1” in Black. Look closely: we’ve redefined the classic dress watch.



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST21-TRI.75,https://arminstrom.com//en/collection/system-78/tribute-1-first-edition/,,Armin Strom,,System 78,Tribute 1 First Edition,Tribute 1 First Edition,"Limited edition
25 pieces",,CHF,16900,https://arminstrom.com/wp-content/uploads/2021/07/tribute-1-first-edition-image-01-en-3.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,Offset black gold,Offset black gold,Delivered with a grey Alcantara calf leather strap,Delivered with a grey Alcantara calf leather strap,Folding clasp in stainless steel,,,,,,,"Introducing the Tribute 1: a modern reinterpretation of the haute horology dress watch that’s both technically-innovative and beautifully hand-finished.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST21-TNS.75,https://arminstrom.com//en/collection/system-78/tribute-1-california-black/,,Armin Strom,,System 78,Tribute 1 California Black,Tribute 1 California Black,"Limited edition
5 pieces",,CHF,19900,https://arminstrom.com/wp-content/uploads/2021/11/tribute-1-california-black-image-01-soldout.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,"Offset, fumé: black","Offset, fumé: black",Delivered with a black alligator leather strap,Delivered with a black alligator leather strap,Folding clasp in stainless steel,,,,,,,"Tribute 1 California – a combination of two icons: the modern dress watch and the California dial
Ask for more information",
ST21-TNS.20,https://arminstrom.com//en/collection/system-78/tribute-1-california-green/,,Armin Strom,,System 78,Tribute 1 California Green,Tribute 1 California Green,"Limited edition
5 pieces",,CHF,19900,https://arminstrom.com/wp-content/uploads/2021/11/tribute-1-california-green-image-01-soldout.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,"Offset, fumé: green","Offset, fumé: green",Delivered with a black alligator leather strap,Delivered with a black alligator leather strap,Folding clasp in stainless steel,,,,,,,"Tribute 1 California – a combination of two icons: the modern dress watch and the California dial
Ask for more information",
