Reference Number,Watch URL,type,brand,year_introduced,Parent_Model,Specific_Model,nickname,Marketing Names,style,Currency,Price,Image URL,made_in,case_shape,case_material,case_finish,Caseback,diameter,between_lugs,Lug-to-Lug ,Case Thickness,bezel_material,bezel_color,crystal,Water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,Description,short_description
ST21-TNS.10,https://arminstrom.com//en/collection/system-78/tribute-1-california-burgundy/,,Armin Strom,,System 78,Tribute 1 California Burgundy,Tribute 1 California Burgundy,"Limited edition
5 pieces",,CHF,19900,https://arminstrom.com/wp-content/uploads/2021/11/tribute-1-california-burgundy-image-soldout-01.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,"Offset, fumé: burgundy","Offset, fumé: burgundy",Delivered with a black alligator leather strap,Delivered with a black alligator leather strap,"Pin buckle in stainless steel , a folding clasp in stainless steel is available on option",,,,,,,"Tribute 1 California – a combination of two icons: the modern dress watch and the California dial
Ask for more information",
ST21-TNS.05,https://arminstrom.com//en/collection/system-78/tribute-1-california-blue/,,Armin Strom,,System 78,Tribute 1 California Blue,Tribute 1 California Blue,"Limited edition
5 pieces",,CHF,19900,https://arminstrom.com/wp-content/uploads/2021/11/tribute-1-california-blue-image-soldout-01.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,"Offset, fumé: blue","Offset, fumé: blue",Delivered with a black alligator leather strap,Delivered with a black alligator leather strap,"Pin buckle in stainless steel , a folding clasp in stainless steel is available on option",,,,,,,"Tribute 1 California – a combination of two icons: the modern dress watch and the California dial
Ask for more information",
ST21-TNS.11,https://arminstrom.com//en/collection/system-78/tribute-1-california-light-blue/,,Armin Strom,,System 78,Tribute 1 California Light Blue,Tribute 1 California Light Blue,"Limited edition
5 pieces",,CHF,19900,https://arminstrom.com/wp-content/uploads/2021/11/tribute-1-california-light-blue-image-01-soldout.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,18/16 mm,44.35 mm,9.38 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,"Offset, fumé: light blue","Offset, fumé: light blue",Delivered with a black alligator leather strap,Delivered with a black alligator leather strap,"Pin buckle in stainless steel , a folding clasp in stainless steel is available on option",,,,,,,"Tribute 1 California – a combination of two icons: the modern dress watch and the California dial
Ask for more information",
ST22-RF.20,https://arminstrom.com/en/collection/resonance/mirrored-force-resonance-manufacture-edition-green/,,Armin Strom,,Resonance,Mirrored Force Resonance Manufacture Edition green,Mirrored Force Resonance Manufacture Edition green,"Limited Edition
50 pieces",,CHF,68000,https://arminstrom.com/wp-content/uploads/2023/04/AS_MFR_ManEd_Green_soldat01.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective coating,43.00mm,22/20 mm,49.60mm,11.55mm,,,"Stainless steel, Sapphire crystal and case back with anti-reflective coating",3 ATM / 30 m,,Off-center dial in green with grenage centre and a circular satin-brushed chapter ring and applied polished baton indices,Off-center dial in green with grenage centre and a circular satin-brushed chapter ring and applied polished baton indices,Gray Alcantara strap with white stitching,Gray Alcantara strap with white stitching,Delivered with a genuine black alligator leather strap,,,,,,,"A micro-mechanical revolution, the Mirrored Force Resonance in steel with a green dial is the result of years of intensive research by Claude Greisler and the Armin Strom manufacture in incorporating the physical phenomenon of resonance in watchmaking for the ultimate chronometric stability. It works by means of the patented Resonance Clutch Spring, which directly connects the two hairsprings for the fastest and most regular resonant state ever witnessed in a wristwatch.

Ask for more information",
ST22-RF.05,https://arminstrom.com/en/collection/resonance/mirrored-force-resonance-manufacture-edition-blue/,,Armin Strom,,Resonance,Mirrored Force Resonance Manufacture Edition Blue,Mirrored Force Resonance Manufacture Edition Blue,"Limited Edition
50 pieces",,CHF,68000,https://arminstrom.com/wp-content/uploads/2023/02/armin-strom-mirrored-force-resonance-manufacture-edition-blue-image-01.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective coating,43.00mm,22/20 mm,49.60mm,11.55mm,,,"Stainless steel, Sapphire crystal and case back with anti-reflective coating",3 ATM / 30 m,,Off-center dial in dark blue with grenage centre and a circular satin-brushed chapter ring and applied polished baton indices,Off-center dial in dark blue with grenage centre and a circular satin-brushed chapter ring and applied polished baton indices,Dark blue Alcantara strap with white stitching,Dark blue Alcantara strap with white stitching,Pin buckle in platinum,,,,,,,"A micro-mechanical revolution, the Mirrored Force Resonance in steel with a blue dial is the result of years of intensive research by Claude Greisler and the Armin Strom manufacture in incorporating the physical phenomenon of resonance in watchmaking for the ultimate chronometric stability. It works by means of the patented Resonance Clutch Spring, which directly connects the two hairsprings for the fastest and most regular resonant state ever witnessed in a wristwatch.
Ask for more information",
ST22-RF.75,https://arminstrom.com//en/collection/resonance/mirrored-force-resonance-first-edition/,,Armin Strom,,Resonance,Mirrored Force Resonance First Edition,Mirrored Force Resonance First Edition,"Limited Edition
25 pieces",,CHF,58000,https://arminstrom.com/wp-content/uploads/2022/05/1200x1200px_MFR_FirstEdition_SoldOut-1.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective coating,43.00mm,22/20 mm,49.60mm,11.55mm,,,"Stainless steel, Sapphire crystal and case back with anti-reflective coating",3 ATM / 30 m,,Off-center dial in black gold,Off-center dial in black gold,Delivered with a genuine dark blue alligator strap,Delivered with a genuine dark blue alligator strap,Folding clasp in stainless steel,,,,,,,"A micro-mechanical revolution, the Mirrored Force Resonance First Edition in steel with a black gold colored dial is the result of years of intensive research by Claude Greisler and the Armin Strom manufacture in incorporating the physical phenomenon of resonance in watchmaking for the ultimate chronometric stability. It works by means of the patented Resonance Clutch Spring, which directly connects the two hairsprings for the fastest and most regular resonant state ever witnessed in a wristwatch.
Ask for more information",
ST17-RP.05,https://arminstrom.com//en/collection/resonance/pure-resonance-manufacture-edition-blue/,,Armin Strom,,Resonance,Pure Resonance Manufacture Edition Blue,Pure Resonance Manufacture Edition Blue,,,CHF,53000,https://arminstrom.com/wp-content/uploads/2021/05/armin-strom-pure-resonance-special-edition-blue-image-01.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with,42.00mm,20/18 mm,48.57mm,12.00mm,,,Sapphire crystal and case back with,50m,,Blue dial with roman numerals,Blue dial with roman numerals,Delivered with a genuine black alligator leather strap and an additional black rubber strap,Delivered with a genuine black alligator leather strap and an additional black rubber strap,Folding clasp in stainless steel,,,,,,,"The Pure Resonance is the second watch in the collection to leverage Claude Greisler’s milestone achievement, which harnessed the “Resonance Phenomenon” in a completely new way.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
RG17-RP.90,https://arminstrom.com//en/collection/resonance/pure-resonance-manufacture-edition-gold/,,Armin Strom,,Resonance,Pure Resonance Manufacture Edition Rose Gold,Pure Resonance Manufacture Edition Rose Gold,,,CHF,62000,https://arminstrom.com/wp-content/uploads/2021/05/armin-strom-pure-resonance-special-edition-black-gold-image-01.jpg,Switzerland,,18ct rose gold,,Sapphire crystal and case back with,42.00mm,20/18 mm,,12.00mm,,,Sapphire crystal and case back with,50m,,Black dial with roman numerals,Black dial with roman numerals,Delivered with a genuine black alligator leather strap and an additional black rubber strap,Delivered with a genuine black alligator leather strap and an additional black rubber strap,Folding clasp in stainless steel,,,,,,,"The Pure Resonance is the second watch in the collection to leverage Claude Greisler’s milestone achievement, which harnessed the “Resonance Phenomenon” in a completely new way.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST17-RP.65,https://arminstrom.com/en/collection/resonance/pure-resonance-salmon/,,Armin Strom,,System 78,Pure Resonance Salmon,Pure Resonance Salmon,"Limited Edition
5 pieces",,CHF,59000,https://arminstrom.com/wp-content/uploads/2022/04/PureResSalmon_product01_SO.jpg,Switzerland,,Stainless steel,,,42.00mm,,48.57mm,12.00mm,,,Sapphire crystal and case back with antireflective treatment,50m,,Salmon colored guilloché dial with roman numerals,Salmon colored guilloché dial with roman numerals,Delivered with a genuine black alligator leather strap,Delivered with a genuine black alligator leather strap,Folding clasp in 18ct rose gold,,,,,,,"The purest execution of Armin Strom’s unrivalled resonance wristwatch, The Pure Resonance in stainless steel with a Salmon guilloché dial by Kari Voutilainen’s atelier is the result of years of intensive research by Claude Greisler and the Armin Strom manufacture. It ingeniously incorporates the physical phenomenon of resonance with its patented Resonance Clutch Spring, which directly connects the two hairsprings for the fastest and most regular resonant state ever witnessed in a wristwatch, resulting in exceptional chronometric stability.
Ask for more information",
ST17-RP.25,https://arminstrom.com/en/collection/resonance/pure-resonance-special-edition-sea-green/,,Armin Strom,,Resonance,Pure Resonance Special Edition Sea Green,Pure Resonance Special Edition Sea Green,"Limited edition
3 pieces",,CHF,59000,https://arminstrom.com/wp-content/uploads/2021/09/armin-strom-pure-resonance-sea-green-sold-out.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with antireflective treatment,42.00mm,20/18 mm,48.57mm,12.00mm,,,"Stainless steel, Sapphire crystal and case back with antireflective treatment",50m,,Sea green guilloché dial with roman numerals,Sea green guilloché dial with roman numerals,Delivered with a genuine black alligator leather strap and an additional black rubber strap,Delivered with a genuine black alligator leather strap and an additional black rubber strap,Folding clasp in stainless steel,,,,,,,"The Pure Resonance is the second watch in the collection to leverage Claude Greisler’s milestone achievement, which harnessed the “Resonance Phenomenon” in a completely new way.
 
Ask for more information",
WG17-RP.11,https://arminstrom.com//en/collection/resonance/pure-resonance-manufacture-edition-sky-blue/,,Armin Strom,,Resonance,Pure Resonance Special Edition Sky Blue,Pure Resonance Special Edition Sky Blue,,,CHF,79700,https://arminstrom.com/wp-content/uploads/2021/05/armin-strom-pure-resonance-special-edition-sky-blue-image-01-1.jpg,Switzerland,,White gold,,Sapphire crystal and case back with,42.00mm,20/18 mm,48.57mm,12.00mm,,,Sapphire crystal and case back with,50m,,Sky Blue guilloché dial with roman numerals,Sky Blue guilloché dial with roman numerals,Delivered with a genuine black alligator leather strap and an additional black rubber strap,Delivered with a genuine black alligator leather strap and an additional black rubber strap,,,,,,,,"The Pure Resonance is the second watch in the collection to leverage Claude Greisler’s milestone achievement, which harnessed the “Resonance Phenomenon” in a completely new way.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
PT21-ZG.60,https://arminstrom.com//en/collection/resonance/resonance-zeitgeist/,,Armin Strom,,Resonance,Resonance Zeitgeist,Resonance Zeitgeist,,,CHF,160000,https://arminstrom.com/wp-content/uploads/2021/12/Zeitgest_Soldout_Pic_01.jpg,Switzerland,,Platinum,,Sapphire crystal and case back with anti-reflective treatment,43 mm,24/20 mm,"49,6 mm","11,55 mm",,,Sapphire crystal and case back with anti-reflective treatment,50 m,,18ct White Gold “vernis laqué poli”,18ct White Gold “vernis laqué poli”,Delivered with a genuine alligator – strap,Delivered with a genuine alligator – strap,,,,,,,,"The unique piece “Zeitgeist” pays tribute to the five-year anniversary of Armin Strom’s resonance technology and shines the spotlight on the exposed mechanism with the patented resonance clutch spring. A special timepiece that combines minimalist dial components and subtle decoration.
 
Ask for more information",
SA18-RGMT.11,https://arminstrom.com//en/collection/masterpiece-collection/dual-time-resonance/,,Armin Strom,,Masterpieces,Dual Time Resonance Manufacture Edition Sapphire,Dual Time Resonance Manufacture Edition Sapphire,"Edition
Limited to 8 pieces",,CHF,280000,https://arminstrom.com/wp-content/uploads/2021/05/armin-strom-dual-time-resonance-manufacture-edition-sapphire-image-01.jpg,Switzerland,,Sapphire,,Sapphire crystal and case back with anti-reflective treatment,59 mm x 43.4 mm,24/20 mm,54.30 mm,15.90 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,Blue guilloché with founded appliques,Blue guilloché with founded appliques,Delivered with a genuine alligator – strap,Delivered with a genuine alligator – strap,,,,,,,,"The Dual Time Resonance ‘Masterpiece 1’ represents the pinnacle expression of our Manufacture’s watchmaking philosophy and capabilities.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
TI18-RGMT.90,https://arminstrom.com//en/collection/masterpiece-collection/dual-time-resonance-manufacture-edition-titanium/,,Armin Strom,,Masterpieces,Dual Time Resonance Manufacture Edition Titanium,Dual Time Resonance Manufacture Edition Titanium,"Edition
Limited to 8 pieces",,CHF,180000,https://arminstrom.com/wp-content/uploads/2021/05/armin-strom-dual-time-resonance-manufacture-edition-titanuim-image-01.jpg,Switzerland,,Titanium,,Sapphire crystal and case back with anti-reflective treatment,59 mm x 43.4 mm,24/20 mm,54.30 mm,15.90 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,Black hand guilloché with founded appliques,Black hand guilloché with founded appliques,Delivered with a genuine alligator – strap,Delivered with a genuine alligator – strap,,,,,,,,"The Dual Time Resonance ‘Masterpiece 1’ represents the pinnacle expression of our Manufacture’s watchmaking philosophy and capabilities.



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
WG18-RGMT.05,https://arminstrom.com/en/collection/masterpiece-collection/dual-time-resonance-manufacture-edition-white-gold/,,Armin Strom,,Masterpieces,Dual Time Resonance Manufacture Edition White Gold,Dual Time Resonance Manufacture Edition White Gold,"Edition
Limited to 8 pieces",,CHF,200000,https://arminstrom.com/wp-content/uploads/2021/05/armin-strom-dual-time-resonance-manufacture-edition-white-gold-image-01.jpg,Switzerland,,Whitegold,,Sapphire crystal and case back with anti-reflective treatment,59 mm x 43.4 mm,24/20 mm,54.30 mm,15.90 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,Blue hand guilloché with founded appliques,Blue hand guilloché with founded appliques,Delivered with a genuine alligator – strap,Delivered with a genuine alligator – strap,,,,,,,,"The Dual Time Resonance ‘Masterpiece 1’ represents the pinnacle expression of our Manufacture’s watchmaking philosophy and capabilities.



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
RG18-RGMT.90,https://arminstrom.com//en/collection/masterpiece-collection/dual-time-resonance-manufacture-edition-rose-gold/,,Armin Strom,,Masterpieces,Dual Time Resonance Manufacture Edition Rose Gold,Dual Time Resonance Manufacture Edition Rose Gold,"Edition
Limited to 8 pieces",,CHF,200000,https://arminstrom.com/wp-content/uploads/2021/05/armin-strom-dual-time-resonance-manufacture-edition-rose-gold-image-01.jpg,Switzerland,,18ct rose gold,,Sapphire crystal and case back with anti-reflective treatment,59 mm x 43.4 mm,23/20 mm,54.30 mm,15.90 mm,,,Sapphire crystal and case back with anti-reflective treatment,50 m,,Black hand guilloché with founded appliques,Black hand guilloché with founded appliques,Delivered with a dark grey alligator strap,Delivered with a dark grey alligator strap,,,,,,,,"The Dual Time Resonance ‘Masterpiece 1’ represents the pinnacle expression of our Manufacture’s watchmaking philosophy and capabilities.



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
TI19-RMR.SA,https://arminstrom.com//en/collection/masterpiece-collection/minute-repeater-resonance-manufacture-edition-titanium/,,Armin Strom,,Masterpieces,Masterpieces Minute Repeater Resonance,Masterpieces Minute Repeater Resonance,"Edition
Limited to 10 pieces, The Armin Strom Minute Repeater Resonance is a limited edition of 10 pieces in Grade 5 titanium; produced in honor of the 10th anniversary of the Manufacture.",,CHF,380000,https://arminstrom.com/wp-content/uploads/2021/05/armin-strom-masterpieces-minute-repeater-resonance-image-01.jpg,Switzerland,,Titanium,,Sapphire crystal and case back with anti-reflective treatment,47.7 mm,,54.33 mm,16.10 mm,,,Sapphire crystal and case back with anti-reflective treatment,30 m,,Transparent with fumée,Transparent with fumée,,,,,,,,,,"Inspired by Bern’s centuries-old chiming tower clock, the Minute Repeater Resonance highlights both the phenomenon of resonance and the sonorous chiming of the time.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
